date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:15	17375/17375	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:13%20GMT	http://docs.opencv.org/java/org/opencv/core/Scalar.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/core/Scalar.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:19	29206/29206	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:17%20GMT	http://docs.opencv.org/java/org/opencv/calib3d/StereoSGBM.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/calib3d/StereoSGBM.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:19	22782/22782	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:16%20GMT	http://docs.opencv.org/java/org/opencv/calib3d/StereoBM.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/calib3d/StereoBM.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:23	16715/16715	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:23%20GMT	http://docs.opencv.org/java/org/opencv/core/TermCriteria.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/core/TermCriteria.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:27	16159/16159	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:24%20GMT	http://docs.opencv.org/java/org/opencv/android/Utils.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/Utils.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:30	809824/809824	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:38:11%20GMT	http://docs.opencv.org/java/org/opencv/imgproc/Imgproc.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/imgproc/Imgproc.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:32	23597/23597	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:29%20GMT	http://docs.opencv.org/java/org/opencv/highgui/VideoCapture.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/highgui/VideoCapture.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:32	70058/70058	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:25%20GMT	http://docs.opencv.org/java/org/opencv/video/Video.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/video/Video.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:33	19936/19936	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:32%20GMT	http://docs.opencv.org/java/overview-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/overview-tree.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:34	7499/7499	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:34%20GMT	http://docs.opencv.org/java/help-doc.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/help-doc.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:38	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:38%20GMT	http://docs.opencv.org/java/index.html?overview-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexe0d5.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:39	28067/28067	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:18%20GMT	http://docs.opencv.org/java/org/opencv/imgproc/Subdiv2D.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/imgproc/Subdiv2D.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:39:40	9947/9947	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:39%20GMT	http://docs.opencv.org/java/allclasses-noframe.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/allclasses-noframe.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:41	5006/5006	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:41%20GMT	http://docs.opencv.org/java/org/opencv/calib3d/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/calib3d/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:42	10393/10393	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:42%20GMT	http://docs.opencv.org/java/org/opencv/core/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/core/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:43	8686/8686	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:40%20GMT	http://docs.opencv.org/java/org/opencv/android/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:43	6219/6219	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:43%20GMT	http://docs.opencv.org/java/org/opencv/features2d/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/features2d/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:44	4701/4701	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:44%20GMT	http://docs.opencv.org/java/org/opencv/highgui/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/highgui/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:44	4968/4968	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:45%20GMT	http://docs.opencv.org/java/org/opencv/imgproc/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/imgproc/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:45	9036/9036	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:45%20GMT	http://docs.opencv.org/java/org/opencv/ml/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/ml/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:47	4407/4407	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:48%20GMT	http://docs.opencv.org/java/org/opencv/photo/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/photo/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:47	4906/4906	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:47%20GMT	http://docs.opencv.org/java/org/opencv/objdetect/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/objdetect/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:48	4409/4409	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:48%20GMT	http://docs.opencv.org/java/org/opencv/utils/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/utils/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:48	5393/5393	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:49%20GMT	http://docs.opencv.org/java/org/opencv/video/package-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/video/package-summary.html	(from http://docs.opencv.org/java/overview-summary.html)
09:39:51	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:52%20GMT	http://docs.opencv.org/java/index.html?org/opencv/core/Algorithm.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index8db0.html	(from http://docs.opencv.org/java/org/opencv/core/Algorithm.html)
09:39:51	8864/8864	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:50%20GMT	http://docs.opencv.org/java/org/opencv/core/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/core/package-tree.html	(from http://docs.opencv.org/java/org/opencv/core/Algorithm.html)
09:39:53	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:53%20GMT	http://docs.opencv.org/java/index.html?org/opencv/video/BackgroundSubtractor.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index1dd7.html	(from http://docs.opencv.org/java/org/opencv/video/BackgroundSubtractor.html)
09:39:53	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:54%20GMT	http://docs.opencv.org/java/index.html?org/opencv/video/BackgroundSubtractorMOG.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index35fd.html	(from http://docs.opencv.org/java/org/opencv/video/BackgroundSubtractorMOG.html)
09:39:57	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:58%20GMT	http://docs.opencv.org/java/index.html?org/opencv/video/BackgroundSubtractorMOG2.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index02be.html	(from http://docs.opencv.org/java/org/opencv/video/BackgroundSubtractorMOG2.html)
09:39:58	7714/7714	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:58%20GMT	http://docs.opencv.org/java/org/opencv/android/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/package-tree.html	(from http://docs.opencv.org/java/org/opencv/android/BaseLoaderCallback.html)
09:39:58	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:59%20GMT	http://docs.opencv.org/java/index.html?org/opencv/android/BaseLoaderCallback.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index2244.html	(from http://docs.opencv.org/java/org/opencv/android/BaseLoaderCallback.html)
